"Component number","Component letter","Component name","Epidemics Description","Urban Description","Climate & Environmental Description"
1,,"RC Auxiliary Role, Mandate and Law","- NS has a clear and well-recognized role in epidemic preparedness and response. This has been clarified with national authorities and is evident in government laws, policies, and plans.
- NS's role in epidemic risk management is reflected in NS policies, strategies, plans and procedures, and is disseminated and understood by staff and volunteers.","- NS mandate and auxiliary role to public authorities are well understood at the sub-national level among disaster management authorities within urban contexts and key entities that manage urban aspects (e.g., urban planning and housing office), including in relation to service providers (e.g., public transport, water and electricity services).","- NS has a long-term commitment, reflected in an environmental policy, guidelines, or management plans, to improve the environmental sustainability of programs, projects, and activities.
- NS policies and strategies are informed by, and adjusted where needed, based on weather information and climate change projections for the country and region."
2,,"DRM Strategy ","- NS DRM strategy identifies public health risks and related interventions. 
- NS DRM and Health/WASH strategic documents provide guidance regarding the management of public health emergencies.","- NS DRM strategy reflects operational needs related to the urban context based on evidence.  
- NS DRM strategy identifies targets and describes high-level outcomes it wants to achieve in responding to urban disasters and crises.  
- NS DRM strategy identifies high-risk urban and peri-urban areas and continuously assesses trends.","- NS DRM strategy adjusts hazard and risk analysis and operations objectives where needed, based on the most recent climate change projections for the country and region.  
- NS DRM Strategy commits to the principles of Green Response."
3,,"DRM Policy","- NS DRM policy emphasizes collaboration between DRM and  Health/WASH departments as part of an organization-wide approach to response.","- NS DRM policy is aligned with city disaster management authorities’  preparedness and response law and plans, that are reflected in NS  operational documents such as contingency plans, urban Early Action  Protocols, and resilience roadmaps for branches within urban contexts.","- NS’s DRM Policy includes commitments to consider the environmental impacts of emergency response actions.
- NS DRM Policy commits to using weather information and the most recent climate change projections to inform decision-making on response."
4,,"DRM Laws, Advocacy and Dissemination","- NS is aware of Joint External Evaluation (WHO) and contributes to national adherence to International Health Regulations.
- NS management understands and complies with domestic legal and policy frameworks relating to public health risks and public health emergencies, including issues such as data sharing and quarantine.","- NS has developed and tailored a Humanitarian Diplomacy Plan which outlines its position, key messages, and targets to use within urban context.  
- NS advocates for community engagement mechanisms mandated by and implemented in urban risk governance mechanisms to ensure community inclusion and leadership in decision-making.","- NS has contributed to the development and/or implementation of  National Adaptation Plans, Nationally Determined Contributions or other relevant climate plans and policies, and uses them to inform preparedness planning.  
- NS has engaged with legislation for environment, climate change, and waste management with the goal of supporting environmental compliance of emergency operations. e.g., single-use plastics,  emergency disposal of untreated sewage and disposal of medical "
5,,"Quality and Accountability ","- During an outbreak, NS is able to identify communication gaps,  communicate risks and key lifesaving and health promotion  messages, track rumours and ensure NS acceptance (e.g. where  there is resistance to a health intervention or disbelief of a disease)  and access (e.g. where there is lockdown).  
- When clinical services are provided, NS has a mechanism in place to  ensure clinical quality standards are adhered to (e.g., WHO, IFRC,  MoH standards).","- NS adheres to urban context standards of SPHERE. ","- The NS collects, monitors, and reports basic environmental benchmarking data about their facilities and operations, such as greenhouse gas emissions, waste production, and water use. 
- NS follows the SPHERE environmental recommendations.
- NS has endorsed the Climate & Environment Charter for  Humanitarian Organisations."
6,,"Hazard, Context and Risk Analysis, Monitoring and Early Warning","- NS volunteers are trained in epidemic control, can recognize the signs of most common epidemics, and act quickly and effectively in the event of an epidemic.  
- For cross-border high-risk areas, NSs coordinate risk monitoring, are familiar with each other's capacities and procedures, and have a mechanism in place to share information.  
- Community Based Surveillance (CBS) Assessment is completed  (using IFRC template). If deemed appropriate by assessment and necessary resources are available, a CBS system is established with indicators for epidemics.
- CBS is coordinated with MoH surveillance structures and  Emergency Operations Centre (including for zoonoses indicators).
- NS has access to secondary data (epidemic risk, access to health  care etc.), and has capacity to collect and analyse primary health related data. 
- NS has updated maps of functioning health facilities and MoH defined health zones, which are shared between HQ and branches  every year.","- NS risk analysis and systems mapping consider the complexity and  variety of risks from cities, including information related to urban populations, livelihoods, health, energy, water, waste collection  systems, and general infrastructure, and how each interacts while  
still considering how hazards impact people differently. 
- NS early warning early action systems for branches within urban contexts are well-coordinated with the system established/recognised by city authorities and in line with cities rules and regulations.","- The NS has conducted or collected an existing analysis of the major climate and environmental issues within the country such as main sources of greenhouse gas emissions, climate change impacts,  deforestation, freshwater pollution, and natural resource exploitation.  
- NS includes climate and environmental considerations into their multi-hazard risk assessments including mapping locations of potential high vulnerability to climate change impacts and of environmental hazards such as landfill sites, tailing dams, chemical and fertilizer factories or stores, hydro-carbon fuel storage depots,  and sewage treatment plants as well as the possible presence of environmentally hazardous materials in buildings or manufacturing operations such as asbestos. 
- The NS has conducted or collected physical mapping of key environmental assets such as natural protected areas, key natural resources (and their health/status), and culturally important sites."
7,,"Scenario Planning","- Scenarios and Response options take into account key practices relevant to epidemics (e.g. hygiene, open defecation, respiratory etiquette, animal slaughtering, management of the dead [limited to specific epidemics]), access to clean water, soap, oral rehydration supplements and health care, immunization levels and adequate nutrition, and migration patterns and security risks. 
- NS has developed specific scenarios that are aligned with the Government's scenarios for epidemics including zoonoses and safety of first responders.  
- Epidemic thresholds (i.e. the level of incidence above which a disease requires an urgent response) are in line with those set by the MoH; if unavailable, WHO thresholds are be used. 
- A response strategy for epidemic outbreaks is available (or is part of the overall response strategy or contingency plan) and details NS's contribution to the national response plan and the MoH Emergency  Operations Centre (EOC).  
- Epidemic-specific scenarios, response strategies, and SOPs are agreed with bordering NS when appropriate.","- NS has developed scenarios that take into consideration the unique dynamics of responding to one or more hazards within an urban context. It can include damage to physical infrastructure such as building collapses, transportation system damage, as well as migratory movements, lockdowns, or protesting. 
- NS contingency plans for cities include coordination mechanisms with city authorities and other relevant local actors. 
- As part of contingency planning, NS has identified and built relationships with communities anticipated to be affected,  acknowledging that communities are not homogenous in urban settings and can overlap, be disparate, and/or mobile. NS  stakeholder analysis includes community influencers, power brokers, and informal authorities. 
- Interventions and scenarios are pre-coordinated with city and national governments and align with their policies. The overlapping jurisdictions and mandates are addressed. Formal and informal authorities are consulted and supportive.","- Scenarios and response strategies include an understanding of areas of high vulnerability to climate change, local risks, and environmental hazards such as sanitation and solid waste systems including capacity for collection or clearance of disaster and hazardous waste, what materials can be locally recycled, as well as the capacity and location of any medical waste management systems. 
- The NS scenarios and response strategies include an understanding of local household energy sources, delivery systems, and their capacity to support emergency response.  
- The NS scenarios and response strategies include an understanding of local community use of natural resources and their role in emergency response (incl. risks of natural resource depletion, as well as opportunities for sustainable management of natural resources)."
8,,"Risk Management","- NS defines its duty of care through clear procedures for first responders including contractors, consultants, and suppliers, taking  into account the impact of fear, stigma and disease-specific precautions. 
- NS has identified trusted sources and channels of communication to ensure community engagement and public health messaging 
- NS has policies and procedures to manage care for staff and volunteers if they contract a disease.","- Nothing additional to consider","- Any additional key NS stakeholders related to environment and climate change are identified and engaged to ensure support for climate and environmental considerations."
9,,"Preparedness Plans and Budgets","- Epidemic preparedness is well coordinated between DRM and Health teams. 
- Epidemic preparedness gaps are identified based on risk analysis and response strategy and take into account the strengthening of support units. 
- NS ensures assessment, planning, and response during epidemics including measures to avoid fear and stigma (e.g. appropriate communication to community leaders about the need for PPE). 
- Financial gaps for epidemic preparedness or early actions are identified. NS actively seeks resources and support.","- NS preparedness plans for cities are developed and updated in close coordination with city disaster management authorities and integrate implementation and coordination mechanisms with relevant local actors.","- Financial gaps to allow inclusion of climate and environmental considerations in disaster management are identified.
- The NS has identified potential sources of funds associated with addressing climate and environmental issues in disaster management."
10,,"Business Continuity","- NS-managed health facilities, blood banks and/or pre-hospital care services (as relevant) have business continuity plans for epidemic scenarios and follow WHO/MoH guidance regarding Infection and  Prevention Control. 
- NS Business Continuity plan includes epidemics among major risks.","- Nothing additional to consider","- Nothing additional to consider"
